,VCCS Course,VCCS Description,VT Course Code,VT Course Title,VT Description
10,ART 145 INTRODUCTION TO FASHION DESIGN,"Introduces the essential elements of fashion design.  Includes the study of garment silhouette and terminology, basic drawing skills of the fashion figure and garments, creating flats, using croquis, rendering fabrics, designing a fashion line, and understanding the apparel manufacturing and freelance design industries.",FMD 2264,APPAREL PRODUCT DEVELOPMENT,"Study of the pre-production stage of product development in the apparel industry, including planning a line based on market, consumer, and product research, forecasting trends in color, style and materials, developing and selecting designs and styles, and wholesale marketing of a line to retail buyers. Also includes the use of diverse inspiration sources for creating a design, application of computer-aided design to design and style development, and identification of career opportunities and qualifications for professional positions in the industry. Sophomore Standing required."
11,ART 148 GARMENT CONSTRUCTION,Gives students a foundational understanding of garment construction and fabric manipulation in order to create apparel. Includes the fundamentals of hand and machine sewing techniques and basic pattern symbols.,FMD 3224,APPAREL ASSEMBLY,"Systematizing and assembling garment applications for the apparel industry. Conceptual study of simple to complex apparel construction techniques, stitch and seam types, cost-effective measures, applications with manual manipulation, computers, tools, and equipment."
12,ART 160 FILM PRODUCTION I,"Introduces students to the basic techniques and procedures involved in motion picture production. Emphasizes aspects of filmmaking from scripting and preproduction through editing and postproduction. Includes the exploration of professional film crew roles in grip, lighting, production management, directing, sound and editing.",CINE 2064,INTRODUCTION TO CINEMA PRODUCTION,"Introductory filmmaking course. Thematic conception and story construction, writing, producing, directing, cinematography, sound recording, and editing."
13,BIO 100 BASIC HUMAN BIOLOGY,"Presents basic principles of human anatomy and physiology. Discusses cells, tissues, and selected human systems.",BIOL 1054,HUMAN BIOLOGY: CONCEPTS AND CURRENT ISSUES,"Survey of human biology, including physiology, genetics, evolution, and ecology. Focus on homeostasis, including factors and choices that disrupt homeostasis and health. Examination of technological advances and ethical issues associated with the biology of humans. Personal and societal choices that impact human ecology."
14,BIO 101 GENERAL BIOLOGY I,"Focuses on biological processes with a chemical foundation, including macromolecules, cellular structure, metabolism, and genetics in an evolutionary context. Explores the core concepts of evolution; structure and function; information flow, storage and exchange; pathways and transformations of energy and matter; and systems biology. Emphasizes the process of science, interdisciplinary approach, and relevance of biology to society. Part I of a two-course sequence. Assignments require college-level reading fluency, coherent written communication, and basic mathematical skills. This is a Passport and UCGS transfer course. Credit toward graduation cannot be awarded for both BIO 101 and BIO 106 .",BIOL 1105 + BIOL 1115,PRINCIPLES OF BIOLOGY + LAB,"Introduction to the science of biology. 1105: living systems; biological molecules; cell structure, function, and reproduction; cellular energetics and metabolism; expression and inheritance of genetic information; evolution; ethical implications of research and discovery in these areas. 1106: animal and plant anatomy and physiology, ecology, and animal behavior; ethical implications of research and discovery in these areas. (1105 duplicates 1005, 1014; 1106 duplicates 1006, 1014. Credit for 1014 will be disallowed if 1105 or 1106 are taken after earning credit for 1014) | Emphasizes biological principles through investigative exercises and collaborative learning.  1115:  cell chemistry, physiology and reproduction and genetics; 1116: plant and animal form and function, and ecology.  Primarily for students majoring in the life sciences. (Duplicates 1015 1016, 1125, 1126)."
15,BIO 102 GENERAL BIOLOGY II,"Focuses on biological processes with a chemical foundation, including macromolecules, cellular structure, metabolism, and genetics in an evolutionary context. Explores the core concepts of evolution; structure and function; information flow, storage and exchange; pathways and transformations of energy and matter; and systems biology. Emphasizes the process of science, interdisciplinary approach, and relevance of biology to society. Part II of a two-course sequence. This is a UCGS transfer course.",BIOL 1106 + BIOL 1116,PRINCIPLES OF BIOLOGY + LAB,"Introduction to the science of biology. 1105: living systems; biological molecules; cell structure, function, and reproduction; cellular energetics and metabolism; expression and inheritance of genetic information; evolution; ethical implications of research and discovery in these areas. 1106: animal and plant anatomy and physiology, ecology, and animal behavior; ethical implications of research and discovery in these areas. (1105 duplicates 1005, 1014; 1106 duplicates 1006, 1014. Credit for 1014 will be disallowed if 1105 or 1106 are taken after earning credit for 1014). | Emphasizes biological principles through investigative exercises and collaborative learning.  1115:  cell chemistry, physiology and reproduction and genetics; 1116: plant and animal form and function, and ecology.  Primarily for students majoring in the life sciences."
16,BIO 141 HUMAN ANATOMY & PHYSIOLOGY I,"Presents the study of anatomy & physiology including anatomical terminology, homeostasis, histology, integumentary system, skeletal system, muscular system, and nervous system. Part I of II.  Assignments require college-level reading fluency, coherent written communication, and basic mathematical skills.",BMSP 2135 + BMSP 2145,HUMAN ANATOMY AND PHYSIOLOGY + LAB,"Structure and function of the human body for students preparing for professions in the health fields. 2135: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2136: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2135 -2136 duplicates BIOL 2405-2406; may not receive credit for both. | Laboratory exercises investigating the structure and function of the human body for students preparing for professions in the health fields.  2145: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2146: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2145 -2146 duplicates BIOL 2414; may not receive credit for both."
17,BIO 142 HUMAN ANATOMY & PHYSIOLOGY II,"Continues study of anatomy and physiology including endocrine system, blood and cardiovascular system, lymphatic system and immunity, respiratory system, urinary system, fluid, electrolyte, and acid-base balance, digestive system and nutrient metabolism, reproductive system, and prenatal development. Part II of II.",BMSP 2136 + BMSP 2146,HUMAN ANATOMY AND PHYSIOLOGY + LAB,"Structure and function of the human body for students preparing for professions in the health fields. 2135: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2136: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2135 -2136 duplicates BIOL 2405-2406; may not receive credit for both. | Laboratory exercises investigating the structure and function of the human body for students preparing for professions in the health fields.  2145: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2146: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2145 -2146 duplicates BIOL 2414; may not receive credit for both."
18,BIO 150 MICROBIOLOGY FOR HEALTH SCIENCES,"Focuses on the general characteristics, cellular structure, and metabolism of microorganisms. Emphasizes microbial relationships with individual and community health. Includes impact of microbes on human health and disease, microbial pathogenicity, identifying and managing infectious diseases and controlling microbial growth, healthcare associated infections and epidemiology. Studies aseptic culturing techniques with hands-on experience in safe microbiology practices.",BIOL 2604 + BIOL 2614,GENERAL MICROBIOLOGY + LAB,"Microbial structure, function, metabolism, genetics and ecology.  The role of microorganisms in host/parasite relationships will be emphasized. | Introduction to microbiological techniques and procedures. Aseptic technique and safe handling.  Culture, characterization, and identification of microorganisms."
19,BIO 205 GENERAL MICROBIOLOGY,"Explores the structure and function of microorganisms and their relationship to the environment and humans. Emphasizes the various groups of microorganisms, their growth and metabolism, roles in the functioning of ecosystems, genetics, their roles in human health, the use of microbes in industrial applications and biotechnology and methods of microbial control.",BIOL 2604 + BIOL 2614,GENERAL MICROBIOLOGY + LAB,"Microbial structure, function, metabolism, genetics and ecology.  The role of microorganisms in host/parasite relationships will be emphasized. | Introduction to microbiological techniques and procedures. Aseptic technique and safe handling.  Culture, characterization, and identification of microorganisms."
20,BIO 206 CELL BIOLOGY,"Introduces the ultrastructure and functions of cells. Emphasizes cell metabolism, cell division, and control of gene expression.",BIOL 2134 + BIOL 3104,CELL FUNCTION AND DIFFERENTIATION + CELL AND MOLECULAR BIOLOGY LABORATORY,"Fundamental mechanisms essential for cell function.  Methods used to study cells.  Cellular structure and physiology, energy production, cell survival and reproduction.  Cell interactions and communication, stem cells, cell differentiation, tissue formation. | Introduction to methods used to study prokaryotic and eukaryotic cells. Recombinant DNA, protein expression and purification, the polymerase chain reaction, bioinformatics, and microscopy."
21,BIO 231 HUMAN ANATOMY & PHYSIOLOGY I,"Integrates the study of gross and microscopic human anatomy with physiology, emphasizing the analysis and interpretation of physiological parameters, as they relate to clinical scenarios. Covers the integumentary system, skeletal system (including articulations), muscular system, and nervous system. Part I of II.",BMSP 2135 + BMSP 2145,HUMAN ANATOMY AND PHYSIOLOGY + LAB,"Structure and function of the human body for students preparing for professions in the health fields. 2135: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2136: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2135 -2136 duplicates BIOL 2405-2406; may not receive credit for both. | Laboratory exercises investigating the structure and function of the human body for students preparing for professions in the health fields.  2145: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2146: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2145 -2146 duplicates BIOL 2414; may not receive credit for both."
22,BIO 232 HUMAN ANATOMY & PHYSIOLOGY II,"Integrates the study of gross and microscopic human anatomy with physiology, emphasizing the analysis and interpretation of physiological parameters, as they relate to clinical scenarios. Covers the endocrine system, circulatory system, lymphatic system (including immunity), respiratory system, urinary system (including fluid, electrolyte, and acid-base balance), digestive system (including nutrient metabolism), and reproductive system (including prenatal development). Part II of II.",BMSP 2136 + BMSP 2146,HUMAN ANATOMY AND PHYSIOLOGY + LAB,"Structure and function of the human body for students preparing for professions in the health fields. 2135: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2136: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2135 -2136 duplicates BIOL 2405-2406; may not receive credit for both. | Laboratory exercises investigating the structure and function of the human body for students preparing for professions in the health fields.  2145: body plan and organization, homeostasis, cell structure and function, histology, integumentary system, skeletal system, muscular system, nervous system and special senses. 2146: endocrine system, circulatory & cardiovascular system, lymphatic system and immunity, respiratory system, digestive system, metabolism, excretion, reproduction, and development. BMSP 2145 -2146 duplicates BIOL 2414; may not receive credit for both."
23,BLD 210 BUILDING STRUCTURES,"Introduces analysis and design of steel, wood, and reinforced concrete structural members including loads, reactions, bending moments, stresses, and deflection for selection of beam and column sizes. Considers bolted and welded connections in steel design. Introduces determination of reinforcing steel sizes and arrangements in concrete embers. Use local prerequisites.",BC 2214,WHY BUILDINGS STAND UP,"Overview of fundamental principles explaining why structures remain stable under various loading conditions. Explores different types of structures and applied loads and analyzes both determinate and indeterminately supported structures. Calculation of shear, bending moments, deflections in beams, and buckling. Discussion of ethical impacts on user safety and hazard avoidance, in project design and construction methods, materials, etc. Explores different types of soil composition and their strength properties."
24,BUS 100 INTRODUCTION TO BUSINESS,"Exposes students to the functions and topics of modern business, including economics, management, finance, accounting, marketing, production, international business, small business, and other areas of general business interest. Guides students in establishing a viable business vocabulary, fostering critical and analytical thinking, and refining business decision-making skills.",MGT 1104,FOUNDATIONS OF BUSINESS,"Introduces students to the free enterprise system and the various business functions, such as management, human resources, marketing, operations, accounting and finance, technology as well as to the different types of business such as manufacturing and service.  Analyzes the various business functions to help improve understanding of career interests and opportunities, as well as to provide a basic understanding of how a company operates.  Applies learning through a group project in which a micro-business is created and managed."
25,BUS 204 PROJECT MANAGEMENT,"Provides students with knowledge of essential skills and techniques necessary to lead or participate in projects assigned to managerial personnel. Covers time and task scheduling, resource management, problem solving strategies and other areas related to managing a project.",MGT 2114,PRINCIPLES OF PROJECT MANAGEMENT,"Broad and comprehensive overview of project management (PM) with emphasis on its application in organizations. Tools, techniques, and evaluative frameworks that are intended to solve problems and execute organizational strategy. Emphasizes project lifecycle and introduces multiple PM approaches and technologies. Change management evaluation and project manager role in implementing related strategies. Assessment of project financial performance, impact, and risk."
26,BUS 224 BUSINESS STATISTICS,Introduces methods of probability assessment and statistical inference. Includes data presentation; descriptive statistics; basic probability concepts; discrete and continuous probability distributions; decision theory; estimation and sampling distributions; Central Limit Theorem; simple linear regression and hypothesis testing for a single sample or population. Emphasizes business and economic applications. Utilizes spreadsheet software as a tool for problem-solving.,BIT 2405,"INTRODUCTION TO BUSINESS STATISTICS, ANALYTICS, AND MODELING","Introduction to basic statistical (inference) tools, analytics techniques, and modeling necessary in managerial decision-making. The decision-making aspect of the course, while utilizing quantitative/computational thinking, will emphasize ethical reasoning. Topics include, but are not limited to, descriptive statistics, elementary probability theory, sampling and sampling distributions, portfolio management, hypothesis testing, regression analysis, analysis of variance, big data, and data analytics."
27,BUS 227 BUSINESS ANALYTICS,"Includes overview of quantitative methods in business decision-making, simple and multiple regression and correlation analysis, time series analysis and business forecasting, decision analysis, linear programming, transportation and assignment methods, and network models. May include computer applications. Students will be required to use computer applications.",BIT 2406,"INTRODUCTION TO BUSINESS STATISTICS, ANALYTICS, AND MODELING","Overview of analytic models and solution techniques in decision science. Discussion of descriptive and predictive analytics goals and methods. In addition to overview of mathematical modeling and solution techniques, discussions will include considerations of adapting analytics methods to various global and ethical business applications. Students should develop skills and appreciation of the use of data and analytics for problem solving."
28,BUS 274 FOUNDATIONS OF ENTREPRENEURSHIP,"Introduces students to the principles of entrepreneurship, covering business models, responsibilities, and successful practices. BUS 274 serves both transfer and CTE programs.",MGT 2064,FOUNDATIONS OF ENTREPRENEURSHIP,"Introduction to the study and practice of entrepreneurship in a human-centered context. Examination of the influence of different cultures, institutions, and global factors and the role of human values, beliefs and behaviors on modes of entrepreneurial action. Application of theories and methods of entrepreneurial opportunity identification within the contexts of human behavior, social institutions and/or patterns of culture to generate ideas for new ventures and application of design-thinking theories and concepts in a field-based, experiential learning project to design, iterate and validate a value proposition and business model for a new venture."
29,BUS 280 INTRODUCTION TO INTERNATIONAL BUSINESS,"Provides an introduction to the theoretical principles and practices of the global business environment. Examines the functions of international business in the economy, international and transnational marketing, production, and financial operations.",HTM 2314,INTRODUCTION TO INTERNATIONAL BUSINESS,"Fundamental concepts of international business. International business environment and how it affects decisions, the creation of competitive advantage in the multinational firm, and complexities of managing it.  Why international businesses exist, drivers of international expansion, differences among countries in terms of political, legal, economic, technological and cultural dimensions, and the complexity of international business decisions.  Causes and consequences of globalization, international trade, and analyzing the challenges of managing international business, with a focus on a number of industries, including hospitality and tourism. Operational, strategic, and ethical issues which are unique to multinational corporations."
30,CHM 101 INTRODUCTORY CHEMISTRY,"Explores the experimental and theoretical concepts of general chemistry while emphasizing scientific reasoning, critical and analytical thinking. Designed for the non-science major. This is a Passport and UCGS transfer course.",CHEM 1015 + CHEM 1025,CHEMISTRY IN CONTEXT + CHEMISTRY IN CONTEXT LAB,"Survey of chemistry across areas of specialization for students enrolled in curricula other than science and engineering.  History and fundamental concepts and theories of chemistry, including the consequences of changes in parameters on chemical systems.  Impact of chemistry in the context of areas of public concern and policy, including best practices for sustainability, rational decision-making, ethical use of scientific information, product and process stewardship.  Chemistry as a basis for decision-making in the context of individual values and beliefs, and the roles of values and beliefs in the progress of chemistry as a human endeavor.  The foregoing to be based on the concepts of chemistry as follows: 1015: Periodicity and atomic structure; nuclear chemistry; chemical bonding and reactivity; organic chemistry, polymer chemistry, and medicinal chemistry.  1016:  Chemical stoichiometry including conservation of matter and energy; acid-base and oxidation-reduction chemistry of solutions; stoichiometry and thermodynamics, agricultural and environmental chemistry, chemistry of household and personal care products (Duplicates 1035-1036.) | Virtual laboratory exercises and reading and writing assignments designed to accompany 1015 and 1016, as applicable.  Illustrates and elaborates on principles addressed in lecture, including history and fundamental concepts, theories, contexts, with an emphasis on sustainability issues and ethical consequences of decision- making in chemistry.  Students will identify foundational concepts in chemistry, enumerate parameters likely to influence the outcome of an experiment, analyze the ways that values and beliefs influence progress in the discipline and communicate chemical concepts to a lay audience."
31,CHM 110 SURVEY OF CHEMISTRY,"Introduces the basic concepts of general, organic, and biochemistry with emphasis on their applications to other disciplines. No previous chemistry background required.",CHEM 1015,CHEMISTRY IN CONTEXT,"Survey of chemistry across areas of specialization for students enrolled in curricula other than science and engineering.  History and fundamental concepts and theories of chemistry, including the consequences of changes in parameters on chemical systems.  Impact of chemistry in the context of areas of public concern and policy, including best practices for sustainability, rational decision-making, ethical use of scientific information, product and process stewardship.  Chemistry as a basis for decision-making in the context of individual values and beliefs, and the roles of values and beliefs in the progress of chemistry as a human endeavor.  The foregoing to be based on the concepts of chemistry as follows: 1015: Periodicity and atomic structure; nuclear chemistry; chemical bonding and reactivity; organic chemistry, polymer chemistry, and medicinal chemistry.  1016:  Chemical stoichiometry including conservation of matter and energy; acid-base and oxidation-reduction chemistry of solutions; stoichiometry and thermodynamics, agricultural and environmental chemistry, chemistry of household and personal care products (Duplicates 1035-1036.)"
32,CHM 111 GENERAL CHEMISTRY I,"Explores the fundamental laws, theories, and mathematical concepts of chemistry. Designed primarily for science and engineering majors. Requires a strong background in mathematics. Students must earn a grade of C or higher in the lecture portion of the course to earn an overall grade of C or higher. Part I of II. This is a Passport and UCGS transfer course.",CHEM 1035 + CHEM 1045,GENERAL CHEMISTRY + GENERAL CHEMISTRY LAB,"First chemistry course for students in science curricula. Applications of reasoning in the natural sciences using chemical laws in an applied context and in the student’s own discipline. Overview of the universal aspects of chemistry and of application of chemistry to address global challenges. 1035: Problem-solving, elements and periodic table, stoichiometry of chemical reactions, gas phase of matter, energy flow and chemical change, atomic structure, and theories of chemical bonding. 1036: Properties of the three states of matter alone and in mixtures, kinetics, aqueous equilibrium, thermodynamics, electrochemistry. (Duplicates 1015-1016.) Students may bypass prerequisites for 1035 through testing alternatives listed in the Registrar’s Timetable. | Hands-on, real-world activities that illustrate and elaborate on concepts taught in general chemistry lecture (1035-1036), including acids and bases, heat capacity, ideal gases, states of matter, concentration, mixtures, energy flow and spontaneity in processes, equilibrium, kinetics, colligative properties, and electrochemistry. Use of instrumentation to analyze water and soil contaminants, biofuel mixtures, nanoparticles, and polymer properties. Laboratory safety, chemical hygiene, hazard mitigation, waste management, and the influence of procedure on experimental outcomes. Global challenges, including recycling and sustainable energy sources, water resource management, global warming, and environmentally friendly reagents in chemical contexts. Use of computers in data analysis, collaboration, and report-writing."
33,CHM 112 GENERAL CHEMISTRY II,"Explores the fundamental laws, theories, and mathematical concepts of chemistry. Designed primarily for science and engineering majors. Requires a strong background in mathematics. Students must earn a grade of C or higher in the lecture portion of the course to earn an overall grade of C or higher. Part II of II. This is a Passport and UCGS transfer course.",CHEM 1036 + CHEM 1046,GENERAL CHEMISTRY + GENERAL CHEMISTRY LAB,"First chemistry course for students in science curricula. Applications of reasoning in the natural sciences using chemical laws in an applied context and in the student’s own discipline. Overview of the universal aspects of chemistry and of application of chemistry to address global challenges. 1035: Problem-solving, elements and periodic table, stoichiometry of chemical reactions, gas phase of matter, energy flow and chemical change, atomic structure, and theories of chemical bonding. 1036: Properties of the three states of matter alone and in mixtures, kinetics, aqueous equilibrium, thermodynamics, electrochemistry. (Duplicates 1015-1016.) Students may bypass prerequisites for 1035 through testing alternatives listed in the Registrar’s Timetable. | Hands-on, real-world activities that illustrate and elaborate on concepts taught in general chemistry lecture (1035-1036), including acids and bases, heat capacity, ideal gases, states of matter, concentration, mixtures, energy flow and spontaneity in processes, equilibrium, kinetics, colligative properties, and electrochemistry. Use of instrumentation to analyze water and soil contaminants, biofuel mixtures, nanoparticles, and polymer properties. Laboratory safety, chemical hygiene, hazard mitigation, waste management, and the influence of procedure on experimental outcomes. Global challenges, including recycling and sustainable energy sources, water resource management, global warming, and environmentally friendly reagents in chemical contexts. Use of computers in data analysis, collaboration, and report-writing."
34,CHM 121 HEALTH SCIENCE CHEMISTRY I,"Introduces the health science student to concepts of inorganic, organic, and biological chemistry as applicable to the allied health profession.  Part I of II.",CHEM 1015 + CHEM 1025,CHEMISTRY IN CONTEXT + CHEMISTRY IN CONTEXT LAB,"Survey of chemistry across areas of specialization for students enrolled in curricula other than science and engineering.  History and fundamental concepts and theories of chemistry, including the consequences of changes in parameters on chemical systems.  Impact of chemistry in the context of areas of public concern and policy, including best practices for sustainability, rational decision-making, ethical use of scientific information, product and process stewardship.  Chemistry as a basis for decision-making in the context of individual values and beliefs, and the roles of values and beliefs in the progress of chemistry as a human endeavor.  The foregoing to be based on the concepts of chemistry as follows: 1015: Periodicity and atomic structure; nuclear chemistry; chemical bonding and reactivity; organic chemistry, polymer chemistry, and medicinal chemistry.  1016:  Chemical stoichiometry including conservation of matter and energy; acid-base and oxidation-reduction chemistry of solutions; stoichiometry and thermodynamics, agricultural and environmental chemistry, chemistry of household and personal care products (Duplicates 1035-1036.) | Virtual laboratory exercises and reading and writing assignments designed to accompany 1015 and 1016, as applicable.  Illustrates and elaborates on principles addressed in lecture, including history and fundamental concepts, theories, contexts, with an emphasis on sustainability issues and ethical consequences of decision- making in chemistry.  Students will identify foundational concepts in chemistry, enumerate parameters likely to influence the outcome of an experiment, analyze the ways that values and beliefs influence progress in the discipline and communicate chemical concepts to a lay audience."
