Unnamed: 0,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
11,TA 28 Backstage Theatre,"Surveys all components of theater technology (stagecraft) in lighting, sound, scenery, painting, costumes, stage management, makeup, and properties.",THEA 10,Introduction to Theater Design and Technology,"Addresses imagination and creativity. Using the framework of theater production, students explore the process of translating a script into a performance. Topics include visual literacy, creative problem solving, establishing effective working teams, tear sheets, storyboarding, drawing, sound and color theory. This course is a"
12,TA 31 Introduction to Design in the Theatre,"Presents a wide exploration of design for the theatre including projects in set, costume, lighting, and sound design. This course",THEA 10,Introduction to Theater Design and Technology,"Addresses imagination and creativity. Using the framework of theater production, students explore the process of translating a script into a performance. Topics include visual literacy, creative problem solving, establishing effective working teams, tear sheets, storyboarding, drawing, sound and color theory. This course is a"
13,DANCE 4 Contemporary Modern Dance I,"Introduces the foundations of current physical and expressive beginning dance techniques by focusing on basic skills, musicality, and the art of dance. Improves kinesthetic abilities, engage the imagination, and build flexibility, strength and alignment.",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
14,DANCE 7 Ballet I,"Introduces basic techniques and principles of ballet through barre, center floor work, and across-the-floor combinations while acquainting the student with the aesthetics, history, and tradition of classical ballet.",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
15,DANCE 5 Contemporary Modern Dance II,"Teaches intermediate contemporary modern dance technique, develops personal expression and musicality, improves alignment, body awareness, and conditioning while performing longer and more challenging movement combinations to live music.",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
16,DANCE 68 Advanced Dance Technique and Performance Skills,"Refines contemporary modern dance technique and performing skills while learning more complex patterns of movement, embodiement of alignment, flexibilty, strength, and energy flow with live dance accompaniment.",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
17,DM 1 Introduction to Digital Media,"Explores industry-standard software as a tool to create visual solutions to a number of graphic design problems. Topics focus on the application of design principles and elements, color theory, typographic design, creative problem-solving, and production practices to visually communicate messages and experiences. Students explore successful visual design solutions with a wide range of digital media tools and techniques for print, screen, and interactive media.",ART 20K,Introduction to New Media and Digital Artmaking,"Introduces digital and new media art practice. Explores the use of the computer as tool and medium. Provides a hands-on introduction to the fundamentals of graphics; digital-image acquisition and manipulation; video; web design; and computer programming. Lectures, readings, and discussions examine the history of technology artwork and technology's relationship to contemporary culture."
18,ART 2A Drawing and Composition I,"Teaches the fundamentals of composition and the development of drawing skills with various drawing media. Develops appreciation and perception by means of studio work, library references, slides, field trips, and lectures.",ART 15,Introduction to Drawing for the Major,"Introduction to the methods, materials, and purposes of drawing to develop perceptual and conceptual skills through a series of assignments, providing various approaches to drawing as a tool for creative exploration. Discussions and critiques facilitate the development of critical skills. Designed for students considering the art major."
19,ART 2B Drawing and Composition II,"Refines and expands technical drawing skills from Drawing and Composition I with an emphasis on personal expression, thematic development, and an introduction to the use of color.",ART 15,Introduction to Drawing for the Major,"Introduction to the methods, materials, and purposes of drawing to develop perceptual and conceptual skills through a series of assignments, providing various approaches to drawing as a tool for creative exploration. Discussions and critiques facilitate the development of critical skills. Designed for students considering the art major."
20,ART 33A Screen Printing/Serigraphy I,"Introduces the art and techniques of screen printing/serigraphy including stenciling, printing, care of prints, papers and proper studio use.",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
21,ART 32B Intermediate Intaglio Prints,Expands the use of intaglio printmaking techniques taught in Printmaking: Etching and Intaglio for the creation of original fine art prints.,ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
22,ART 33B Screen Printing/Serigraphy II,"Continues screen printing/serigraphy techniques including advanced stenciling, registration methods, print care and curating, papers and proper studio use.",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
23,ART 32A Printmaking: Etching and Intaglio,"Teaches intaglio printmaking techniques in etching, drypoint, and monoprint.",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
24,ART 4 Beginning Design: Design and Color,"Introduces the concepts, applications, and historical references related to two-dimensional art and composition, including the study of the principles of composition and elements of art: line, shape, texture, value, color, and spatial illusion. Develops a visual vocabulary for creative expression through lecture presentations, studio projects, problem-solving, and written assignments.",ART 10D,2D Foundation,"Introduces students to the fundamental principles of two-dimensional art and design. This is a large lecture-based course with smaller art studio-based sections (60% lecture/40% studio). Lectures, discussions and studio sections explore fundamental 2D drawing concepts of line, color shape, value, space, form, unity, balance, scale, proportion and texture. Through lectures, discussion and studio projects students learn to create and understand complex concepts in two dimensions."
25,ART 5 Beginning Design: 3-Dimensional Form,"Teaches design elements and principles used in three-dimensional artwork and sculpture. Includes projects in various media: paper, plaster, wood, and metal.",ART 10E,3D Foundation,"Introduces students to the fundamental principles of three-dimensional art and design. This is a large lecture-based course with smaller art studio-based sections (60% lecture/40% studio). Lecture, discussion, and studio sections explore fundamental 3D concepts, techniques, and technical practices in sculpture, public art, architecture, process, and design. Through lectures, discussion, and studio projects students learn to create and understand complex concepts in 3D."
26,ART 34C Sculpture: Direct Process III,"Continues the study of sculptural processes from Sculpture: Direct Processes II with an increased awareness of materials, which can be transformed through direct approach. Emphasizes the application of concept and presentation.",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
27,ART 34A Sculpture: Direct Processes I,Introduces beginning-level materials and processes in sculpture.,ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
28,ART 44A Figure Sculpture,"Studies and explores the basic principles, materials and techniques of sculpting the human figure from live models. Emphasizes structure, proportion, balance, and self-expression in three-dimensional form. Develops awareness of historical and contemporary concerns in figure sculpture. Materials explored are clay, wire, and mixed media.",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
29,ART 34B Sculpture: Direct Processes II,"Continues the study of materials and processes from Sculpture: Direct Processes I with an increased use of a wide variety of materials, which can be sculpted through direct processes. Emphasizes the application of concepts and presentation.",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
30,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium.",CHEM 3A,General Chemistry,"The first course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include atomic theory and structure, the periodic table, chemical bonding, molecules and their structure, intramolecular forces, and chemical reactions and stoichiometry."
31,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 3B,General Chemistry,"The second course in UCSC's three-quarter introductory chemistry series. Topics in this quarter include chemical equilibrium, acids and bases, solution pH, buffers and chemical kinetics. Course consists of in-person lecture and a secondary active learning discussion section. In addition to the lecture, students are required to enroll and attend one discussion section."
32,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 3C,General Chemistry,"The third course in UCSC’s three-quarter introductory chemistry series. Topics in this quarter include the first and second laws of thermodynamics, redox reactions, electrochemistry, phase changes, and physical properties of solutions. Course consists of in-person lecture and a secondary active learning discussion section. In addition to the lecture, students are required to enroll and attend one discussion section."
33,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium.",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
34,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 4A,Advanced General Chemistry: Molecular Structure and Reactivity,"The first course of the two-quarter accelerated general chemistry series intended for students with a strong high school chemistry background. Coverage includes atomic structure and periodicity, general concepts of chemical bonding, covalent bonding, chemical equilibria and acid-base equilibria. To enroll in CHEM 4A , students must complete an ALEKS prep module. To access this module, find a link in the ""Class Notes"" section of CHEM 4A in the schedule of classes. Students cannot enroll in CHEM 4A after receiving credit with a 'C' or better in CHEM 3A ."
35,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium.",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,"The second course of the two-quarter accelerated general chemistry series. Coverage includes thermodynamics; kinetics, oxidation-reduction, and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry."
36,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 4B,Advanced General Chemistry: Molecular Structure and Reactivity,"The second course of the two-quarter accelerated general chemistry series. Coverage includes thermodynamics; kinetics, oxidation-reduction, and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry."
37,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 1A,General Chemistry,"An integrated study of general chemistry. Covers a range of topics including the atomic structure of matter; molecules; chemical reactions; acids and bases; gases; and equilibria in the gas and liquid phase. Students are  expected to use algebra to solve problems. General Chemistry is articulated in a full-year series. Partial transfer credit is not allowed for the A,B,C series."
38,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium.",CHEM 1A,General Chemistry,"An integrated study of general chemistry. Covers a range of topics including the atomic structure of matter; molecules; chemical reactions; acids and bases; gases; and equilibria in the gas and liquid phase. Students are  expected to use algebra to solve problems. General Chemistry is articulated in a full-year series. Partial transfer credit is not allowed for the A,B,C series."
39,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 1C,General Chemistry,"An integrated study of general chemistry. Coverage includes thermodynamics; oxidation-reduction and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry. General Chemistry is articulated in a full-year series. Partial transfer credit is not allowed for the A,B,C series."
40,CHEM 1A General Chemistry I,"Covers general chemical principles including structure of matter, chemical equations and bonding, gases, solutions, periodic law, acids and bases, and chemical equilibrium.",CHEM 1C,General Chemistry,"An integrated study of general chemistry. Coverage includes thermodynamics; oxidation-reduction and electrochemistry; liquids and solids; intermolecular forces and solutions, including colligative properties; and nuclear chemistry. General Chemistry is articulated in a full-year series. Partial transfer credit is not allowed for the A,B,C series."
41,CHEM 12A Organic Chemistry I,"Presents the lecture portion of the first semester of the year-long organic chemistry course designed for chemistry majors and pre-professional medical and biology majors. Covers stereochemistry, mechanisms, reactions and spectroscopic studies of aliphatic compounds. Students enrolled in the Honors Transfer Program may count this course towards the &quot;Honors Scholar&quot; designation with an Honors Contract.",CHEM 8A,Organic Chemistry,"Introduces organic chemistry, with an emphasis on bonding and reactivity of organic compounds."
42,"BIO 9A Molecular, Cellular, and Animal Biology","Covers principles and applications of cell biology, molecular biology, and animal biology. Examines principles and applications of prokaryotic and eukaryotic cell structure and function, biological molecules, homeostasis, cell reproduction and its controls, molecular genetics, classical/Mendelian genetics, cell metabolism, respiration, and cellular communication. Includes a survey of the form, function, and diversity of animals, and examines the basic principles governing the evolution of organisms. The philosophy of science, methods of scientific inquiry, and experimental design are foundational to this course. Students will conduct research projects, engage in hands-on laboratory experiments, and use specimens to explore the diversity of organisms.",BIOL 20A,Cell and Molecular Biology,"Introduction to biochemistry, cell biology, molecular biology, and genetics."
43,"BIO 9A Molecular, Cellular, and Animal Biology","Covers principles and applications of cell biology, molecular biology, and animal biology. Examines principles and applications of prokaryotic and eukaryotic cell structure and function, biological molecules, homeostasis, cell reproduction and its controls, molecular genetics, classical/Mendelian genetics, cell metabolism, respiration, and cellular communication. Includes a survey of the form, function, and diversity of animals, and examines the basic principles governing the evolution of organisms. The philosophy of science, methods of scientific inquiry, and experimental design are foundational to this course. Students will conduct research projects, engage in hands-on laboratory experiments, and use specimens to explore the diversity of organisms.",BIOE 20B,Development and Physiology,"Topics in morphology, physiology, development, genetics, and endocrinology selected to exemplify current issues and perspectives in organismic biology."
44,"BIO 9B Ecology, Evolution, and Plant Biology","Covers comparative diversity, structure, and non-animal eukaryotic phyla. Population and community ecology and ecosystem interactions are emphasized, as well as aspects of evolution, taxonomy, and systematics. Topics include development, morphology, physiology, photosynthesis, taxonomy and systematics, principles of evolution, mechanisms of evolutionary change, and speciation. Students will obtain mastery through wet labs, computer simulations, fieldwork, group projects, student presentations, and other student-centered approaches.",BIOE 20B,Development and Physiology,"Topics in morphology, physiology, development, genetics, and endocrinology selected to exemplify current issues and perspectives in organismic biology."
45,MATH 5A Analytic Geometry and Calculus I,"Presents plane analytic geometry of lines and graphing, differential calculus of algebraic and transcendental functions of one variable with applications, and introductory integral calculus. Open to all but designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 11A,Calculus with Applications,"A modern course stressing conceptual understanding, relevance, and problem solving. The derivative of polynomial, exponential, and trigonometric functions of a single variable is developed and applied to a wide range of problems involving graphing, approximation, and optimization. Students cannot receive credit for both this course and MATH 19A , or AM 11A , or AM 15A, or ECON 11A."
46,MATH 5A Analytic Geometry and Calculus I,"Presents plane analytic geometry of lines and graphing, differential calculus of algebraic and transcendental functions of one variable with applications, and introductory integral calculus. Open to all but designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. Students cannot receive credit for both this course and MATH 11A , or AM 11A , or AM 15A, or ECON 11A."
47,MATH 5B Analytic Geometry and Calculus II,"Presents integral calculus of algebraic and transcendental functions of one variable with applications, techniques of integration, sequences, and series. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 11B,Calculus with Applications,"Starting with the fundamental theorem of calculus and related techniques, the integral of functions of a single variable is developed and applied to problems in geometry, probability, physics, and differential equations. Polynomial approximations, Taylor series, and their applications conclude the course. Students cannot receive credit for this course and MATH 19B , or AM 11B , or AM 15B, or ECON 11B."
48,MATH 5B Analytic Geometry and Calculus II,"Presents integral calculus of algebraic and transcendental functions of one variable with applications, techniques of integration, sequences, and series. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 19B,"Calculus for Science, Engineering, and Mathematics","The definite integral and the fundamental theorem of calculus. Areas, volumes. Integration by parts, trigonometric substitution, and partial fractions methods. Improper integrals. Sequences, series, absolute convergence and convergence tests. Power series, Taylor and Maclaurin series. Students cannot receive credit for both this course and MATH 11B , or AM 11B , or AM 15B, or ECON 11B."
49,BUS 9 Business Statistics,"Teaches the collection and presentation of data; measures of central tendency, dispersion, probability, sampling distributions, statistical inference, regression correlation, index numbers, time series analysis, and forecasting, Chi-Square Analysis. Applies both hand-computation and statistical software to data in a business context, including interpretation of the statistical findings.",STAT 5,Statistics,"Introduction to statistical methods/reasoning, including descriptive methods, data-gathering (experimental design and sample surveys), probability, interval estimation, significance tests, one- and two-sample problems, categorical data analysis, correlation and regression. Emphasis on applications to the natural and social sciences. Students cannot receive credit for this course if they have already received credit for STAT 7 or STAT 17 ."
50,MATH 12H Honors Elementary Statistics,"Presents the use of probability techniques, hypothesis testing, and predictive techniques to facilitate decision-making. Topics include descriptive statistics; probability and sampling distributions; statistical inference; correlation and linear regression; analysis of variance (ANOVA); chi-square and t-tests; and application of technology for statistical analysis including the interpretation of the relevance of statistical findings. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course.",STAT 5,Statistics,"Introduction to statistical methods/reasoning, including descriptive methods, data-gathering (experimental design and sample surveys), probability, interval estimation, significance tests, one- and two-sample problems, categorical data analysis, correlation and regression. Emphasis on applications to the natural and social sciences. Students cannot receive credit for this course if they have already received credit for STAT 7 or STAT 17 ."
51,MATH 12 Elementary Statistics,"This is an introduction to limits, differentiation, and integration of single and multivariate functions with applications in business, economics, and social sciences. Faculty Requirements Discipline 1 [Mathematics] FSA [FHDA FSA - MATHEMATICS] Course Family Not Applicable Course Justification This course is a major preparation in the discipline of various business-related majors for at least one CSU or UC. This course satisfies De Anza and Cal-GETC general education requirements. This course satisfies the mathematics proficiency requirement for the Liberal Arts A.A. degree. This course meets the needs of students in business-related majors who require a basic understanding of calculus and its applications to business without having to learn calculus at a more rigorous level. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID MATH F012. Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability",STAT 5,Statistics,"Introduction to statistical methods/reasoning, including descriptive methods, data-gathering (experimental design and sample surveys), probability, interval estimation, significance tests, one- and two-sample problems, categorical data analysis, correlation and regression. Emphasis on applications to the natural and social sciences. Students cannot receive credit for this course if they have already received credit for STAT 7 or STAT 17 ."
52,PSYCH 2A Statistics for Behavioral Sciences,"Examines probability techniques, hypothesis testing, and predictive techniques to facilitate behavioral science research. Topics include: descriptive statistics; probability and sampling distributions; statistical inference and power; correlation and linear regression; chi-square; t-tests; and analysis of variance. Applies both hand-computation and statistical software to data in a social science context, including interpretation of the statistical findings.",STAT 5,Statistics,"Introduction to statistical methods/reasoning, including descriptive methods, data-gathering (experimental design and sample surveys), probability, interval estimation, significance tests, one- and two-sample problems, categorical data analysis, correlation and regression. Emphasis on applications to the natural and social sciences. Students cannot receive credit for this course if they have already received credit for STAT 7 or STAT 17 ."
53,CHEM 12B Organic Chemistry II,"Covers mechanisms, synthesis, and spectroscopy of aliphatic and aromatic alcohols, amines, carbonyl and carboxyl compounds, carbohydrates, and proteins. Students enrolled in the Honors Transfer Program may count this course towards the &quot;Honors Scholar&quot; designation with an Honors Contract.",CHEM 8B,Organic Chemistry,"Introduction to organic chemistry, with an emphasis on reactivity and synthesis of organic compounds."
54,CHEM 12AL Organic Chemistry Laboratory I,"Presents an introduction to microscale laboratory and instrumental techniques covering isolation, synthesis, and identification of many classes of organic compounds. Students enrolled in the Honors Transfer Program may count this course towards the &quot;Honors Scholar&quot; designation with an Honors Contract.",CHEM 8L,Organic Chemistry Laboratory,"Laboratory experience in organic chemistry associated with CHEM 8A . Designed to introduce the student to the many techniques associated with organic chemistry while affording an opportunity to explore the concepts discussed in the lecture material. Laboratory: 4 hours, lecture: 1-1/4 hours."
55,"BIO 9B Ecology, Evolution, and Plant Biology","Covers comparative diversity, structure, and non-animal eukaryotic phyla. Population and community ecology and ecosystem interactions are emphasized, as well as aspects of evolution, taxonomy, and systematics. Topics include development, morphology, physiology, photosynthesis, taxonomy and systematics, principles of evolution, mechanisms of evolutionary change, and speciation. Students will obtain mastery through wet labs, computer simulations, fieldwork, group projects, student presentations, and other student-centered approaches.",BIOE 20C,Ecology and Evolution,"Introduction to ecology and evolution covering principles of evolution at the molecular, organismal, and population levels. Evolutionary topics include genetic and phenotypic variation, natural selection, adaptation, speciation, and macroevolution. Also covers behavioral, population, and community ecology including applied ecological issues."
56,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence.",PHYS 6A,Introductory Physics I,"Elementary mechanics. Vectors, Newton's laws, inverse square force laws, work and energy, conservation of momentum and energy, and oscillations."
57,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence.",PHYS 6L,Introductory Physics I Laboratory,Laboratory sequence illustrating topics covered in PHYS 6A . One two-hour laboratory session per week.
58,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers.",PHYS 6B,Introductory Physics II,"A continuation of PHYS 6A . Geometric optics; statics and dynamics of fluids; introduction to thermodynamics, including temperature, heat, thermal conductivity, and molecular motion; wave motion in matter, including sound waves."
59,MATH 6 Introduction to Linear Algebra,"Introduces linear algebra, including vectors in n-dimensional R, matrices, row reductions, inverse matrices, determinants, vector spaces, basis, change of basis, linear independence, transformations, eigenvalues, eigenvectors, and the Gram-Schmidt process. May not be taken Pass/No Pass.",MATH 21,Linear Algebra,"Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues. Students cannot receive credit for this course and AM 10 ."
60,MATH 5C Analytic Geometry and Calculus III,"Presents vector-valued functions, calculus of functions of more than one variable, partial derivatives, multiple integrations, Green&#39;s Theorem, Stokes&#39;s Theorem, and the divergence theorem. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 23A,Vector Calculus,"Vectors in n-dimensional Euclidean space. The inner and cross products. The derivative of functions from n-dimensional to m-dimensional Euclidean space is studied as a linear transformation having matrix representation. Paths in 3-dimensions, arc length, vector differential calculus, Taylor's theorem in several variables, extrema of real-valued functions, constrained extrema and Lagrange multipliers, the implicit function theorem, some applications. Students cannot receive credit for this course and MATH 22 or AM 30 ."
61,MATH 7 Introduction to Differential Equations,"Presents an introductory course in Differential Equations: first order, second order, homogeneous, nonhomogeneous, variation of parameters, applications, simple linear systems with constant coefficients, Laplace transforms, and power series solutions. May not be taken Pass/No Pass.",MATH 24,Ordinary Differential Equations,"First and second order ordinary differential equations, with emphasis on the linear case. Methods of integrating factors, undetermined coefficients, variation of parameters, power series, numerical computation. Students cannot receive credit for this course and AM 20 ."
62,MATH 5C Analytic Geometry and Calculus III,"Presents vector-valued functions, calculus of functions of more than one variable, partial derivatives, multiple integrations, Green&#39;s Theorem, Stokes&#39;s Theorem, and the divergence theorem. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass.",MATH 23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms."
63,CHEM 1B General Chemistry II,"Covers general chemical principles including organic chemistry, chemical kinetics, equilibrium, acid/base chemistry, thermochemistry, thermodynamics, electrochemistry, structure, properties of transition metals, and nuclear chemistry.",CHEM 1N,General Chemistry Laboratory,"Laboratory sequence illustrating topics covered in CHEM 1B and CHEM 1C , respectively, and important experimental techniques."
